"x","y"
-3.300619,55.89634
-0.911239,53.689389
1.1367,51.26144
-2.64715,53.50096
-2.454927,52.828438
-3.80936,56.34456
-1.854114,53.713123
-1.3353,53.0565
1.492553,52.216397
-3.072854,52.793953
-0.2676,51.74207
-3.9673,55.77008
-4.695562,50.401324
-1.332104,54.217926
-5.030691,55.990251
-0.947898,51.449005
-1.790043,51.546339
-0.30536,51.421739
-0.41244,53.84147
-3.039095,51.591626
-3.907061,50.824781
-1.197085,53.01828
-2.30473,53.310825
-1.338362,53.01827
-0.441453,51.561855
-7.85246,53.761683
-1.93126,51.673835
-4.05625,55.86911
-0.734,52.4013
-1.6708,53.747706
-4.023599,52.6402
-0.350896,53.765246
-4.24046,53.09346
-2.050882,51.409693
-2.37603,53.506199
-1.421996,53.72035
-3.61212,56.34183
-1.08982,52.65939
-2.399738,53.787354
-2.575151,53.6443
-3.52643,50.709713
-5.125498,50.099984
-2.50938,53.259782
-3.540891,51.504749
-2.109029,52.578696
-4.507557,55.679956
-7.901163,54.543672
-1.710769,53.792153
-2.213948,52.394462
0.157183,51.057476
-2.473682,53.398092
-2.84837,53.60265
-2.41643,51.05202
-2.874494,53.1938
-2.185103,52.582548
-1.53789,52.96631
1.27219,52.78565
-2.535158,53.733806
-1.91709,53.25954
-4.80711,50.28183
-5.193219,50.25946
-1.750166,53.667593
-2.61166,53.64881
-1.359965,53.166751
-1.39936,50.83073
-1.856539,52.458677
-4.5731,55.986358
-0.024477,51.667363
-2.782299,53.385691
-4.061877,55.676589
-0.491472,51.361481
-2.17876,53.37918
-0.55571,51.6068
-1.106271,51.411109
-3.103232,52.854815
-2.182405,53.443893
-3.05796,53.407346
-2.8061,53.39605
-9.405132,51.9108
-2.237218,53.429112
-3.457446,51.713566
-4.362729,55.840001
-0.294347,51.752563
-3.60624,55.84344
-2.9238,56.3414
-2.69914,53.055038
-7.475064,54.799132
-1.54968,53.65014
-1.376927,51.416541
0.897273,51.893921
-2.474927,53.601839
-2.365894,52.666666
-4.146777,55.752305
-2.33569,52.40443
-1.480415,51.210625
-1.65345,53.76752
-1.73919,53.65133
-1.33295,51.74845
-3.423166,56.39443
-3.361942,55.956158
-0.210943,51.58744
-0.694652,52.380581
0.05536,51.5383
-0.09809,51.36602
-1.604016,53.810854
-2.387618,53.871981
-1.155816,52.6117
-4.2684,51.76825
-6.626172,53.183976
-0.396232,51.64602
-1.56703,54.78199
-3.466842,51.667467
-4.112741,50.568727
-3.265289,55.942567
-2.5645,51.45126
-2.0702,52.57874
-5.02781,50.24862
-0.581375,51.291514
